genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
indietronica,0.000798,0.89,0.47,154.982,0.625,0.0456,0.196,1.23e-05
indietronica,0.0219,0.955,0.534,130.09,0.416,0.0524,0.322,0.00573
indietronica,0.211,0.83,0.489,84.946,0.365,0.0332,0.0962,0.000122
indietronica,0.000561,0.892,0.286,172.016,0.366,0.0731,0.157,0.00016
indietronica,0.904,0.122,0.213,66.576,0.444,0.0308,0.256,0.516
indietronica,0.00933,0.866,0.651,113.945,0.803,0.0584,0.113,0
indietronica,0.000257,0.913,0.515,119.989,0.266,0.0524,0.284,0.00174
indietronica,0.67,0.423,0.568,79.03,0.419,0.025,0.268,0.00304
indietronica,0.0103,0.804,0.516,134.998,0.271,0.0478,0.0981,0.0115
indietronica,0.922,0.046,0.52,103.501,0.072,0.0401,0.357,0.000603
indie r&b,0.95,0.157,0.424,91.537,0.344,0.0428,0.101,0.0593
indietronica,0.95,0.157,0.424,91.537,0.344,0.0428,0.101,0.0593
indie r&b,0.482,0.468,0.732,118.994,0.191,0.0409,0.371,0.809
indietronica,0.482,0.468,0.732,118.994,0.191,0.0409,0.371,0.809
indie r&b,0.695,0.362,0.786,115.022,0.595,0.0373,0.0897,0.408
indietronica,0.695,0.362,0.786,115.022,0.595,0.0373,0.0897,0.408
indie r&b,0.638,0.181,0.558,96.004,0.117,0.0413,0.0887,0.154
indietronica,0.638,0.181,0.558,96.004,0.117,0.0413,0.0887,0.154
indie r&b,0.839,0.367,0.692,112.203,0.0492,0.0662,0.113,0.685
indietronica,0.839,0.367,0.692,112.203,0.0492,0.0662,0.113,0.685
indie r&b,0.557,0.182,0.835,119.98,0.388,0.0762,0.113,0.456
indietronica,0.557,0.182,0.835,119.98,0.388,0.0762,0.113,0.456
indie r&b,0.63,0.294,0.202,79.308,0.0396,0.0451,0.0992,0.0415
indietronica,0.63,0.294,0.202,79.308,0.0396,0.0451,0.0992,0.0415
indie r&b,0.727,0.212,0.714,99.033,0.376,0.0444,0.0644,0.145
indietronica,0.727,0.212,0.714,99.033,0.376,0.0444,0.0644,0.145
indie r&b,0.829,0.25,0.259,199.768,0.0773,0.0518,0.112,0.242
indietronica,0.829,0.25,0.259,199.768,0.0773,0.0518,0.112,0.242
indie r&b,0.669,0.366,0.773,116.053,0.0631,0.056,0.0727,0.496
indietronica,0.669,0.366,0.773,116.053,0.0631,0.056,0.0727,0.496
indie r&b,0.514,0.187,0.274,95.629,0.0385,0.0549,0.0852,0.388
indietronica,0.514,0.187,0.274,95.629,0.0385,0.0549,0.0852,0.388
indie r&b,0.0018,0.95,0.55,126.859,0.291,0.0859,0.238,0
indie r&b,0.0305,0.926,0.676,124.019,0.82,0.0425,0.0771,0.000658
indie r&b,0.0147,0.873,0.615,171.87,0.529,0.331,0.0963,0.000213
indie r&b,0.00913,0.989,0.584,131.035,0.578,0.0707,0.215,4.41e-05
indie r&b,0.00693,0.86,0.555,85.949,0.662,0.103,0.133,7.02e-05
indie r&b,0.154,0.911,0.659,91.999,0.598,0.0786,0.191,0.000304
indie r&b,0.0282,0.947,0.611,105.94,0.571,0.0558,0.303,0
indie r&b,0.0036,0.943,0.717,147.874,0.737,0.0545,0.1,1.92e-05
indie r&b,0.000913,0.938,0.437,201.97,0.742,0.152,0.116,0
indie r&b,0.00692,0.875,0.476,169.815,0.623,0.41,0.111,0.000647
indie r&b,0.00243,0.913,0.38,193.737,0.327,0.2,0.277,0.0902
indie r&b,0.0124,0.944,0.532,170.009,0.666,0.113,0.327,3.84e-05
indie r&b,0.0237,0.833,0.419,87.159,0.506,0.0563,0.39,7.65e-05
indie r&b,0.0522,0.891,0.67,116.008,0.513,0.0603,0.365,0.000913
indie r&b,0.0247,0.773,0.698,89.03,0.684,0.0428,0.327,0.000112
indietronica,0.122,0.876,0.492,140.931,0.352,0.0308,0.257,0.027
indietronica,0.0646,0.925,0.543,169.989,0.549,0.0724,0.0999,0.0403
indietronica,0.0002,0.951,0.253,144.112,0.373,0.0872,0.35,0.346
indietronica,0.00037,0.84,0.519,100.62,0.503,0.0363,0.208,0.678
indietronica,0.248,0.968,0.527,127.936,0.211,0.0702,0.245,9.78e-06
indietronica,0.225,0.925,0.209,99.158,0.0743,0.26,0.0684,0.000748
indietronica,0.0192,0.956,0.525,138.015,0.391,0.0566,0.142,0.846
indietronica,0.162,0.861,0.212,151.618,0.167,0.0539,0.176,0.0624
indietronica,0.0323,0.967,0.544,109.201,0.324,0.141,0.0674,0
indietronica,0.0778,0.762,0.423,99.919,0.0753,0.043,0.207,0.839
indietronica,0.137,0.843,0.553,99.194,0.617,0.0627,0.14,2.25e-06
indietronica,0.208,0.832,0.58,101.972,0.572,0.0313,0.299,0.00103
indietronica,0.04,0.847,0.688,93.979,0.441,0.0508,0.598,2.81e-06
indietronica,0.0312,0.713,0.258,76.2,0.561,0.0677,0.337,0
indietronica,0.041,0.704,0.649,120.028,0.455,0.0508,0.102,0.0606
indietronica,0.0771,0.534,0.562,119.871,0.112,0.028,0.105,0.792
indietronica,0.7,0.681,0.806,93.956,0.95,0.0287,0.0762,0.00851
indietronica,0.0633,0.796,0.584,92.011,0.371,0.0362,0.318,0.000247
indietronica,0.00676,0.709,0.624,109.882,0.325,0.0362,0.171,0.00333
indietronica,0.000693,0.649,0.529,78.996,0.378,0.0272,0.347,0.000519
indietronica,0.00325,0.842,0.292,82.746,0.542,0.125,0.26,0
swedish indie rock,0.0769,0.8,0.282,128.731,0.38,0.0376,0.922,0.0267
swedish indie rock,0.0026,0.947,0.366,104.14,0.416,0.0482,0.685,0.19
swedish indie rock,0.0261,0.797,0.354,138.898,0.151,0.124,0.441,4.27e-05
swedish indie rock,0.903,0.369,0.166,69.835,0.344,0.0516,0.972,0
swedish indie rock,0.0671,0.704,0.426,128.661,0.55,0.0351,0.797,6.99e-06
swedish indie rock,0.0771,0.76,0.367,75.933,0.4,0.115,0.841,0
swedish indie rock,0.209,0.312,0.3,149.921,0.221,0.0294,0.497,0.00221
swedish indie rock,0.16,0.637,0.208,88.934,0.229,0.0341,0.364,0
swedish indie rock,0.261,0.553,0.29,152.337,0.349,0.0314,0.637,1.03e-05
swedish indie rock,0.55,0.794,0.363,125.223,0.324,0.0976,0.924,0
swedish indie rock,0.027,0.977,0.352,107.274,0.226,0.152,0.939,0.0247
swedish indie rock,0.693,0.362,0.184,62.379,0.296,0.0379,0.554,4.22e-06
swedish indie rock,0.0268,0.785,0.378,121.89,0.599,0.0471,0.701,0.000133
swedish indie rock,0.00817,0.912,0.432,127.281,0.188,0.0641,0.464,0.0122
swedish indie rock,0.00135,0.852,0.401,125.702,0.533,0.0387,0.848,0.00153
swedish indie rock,0.0651,0.683,0.224,132.514,0.101,0.0324,0.658,0.000374
swedish indie rock,0.61,0.497,0.263,83.481,0.295,0.05,0.761,0
swedish indie rock,0.0479,0.878,0.236,160.696,0.373,0.0597,0.792,0.0032
swedish indie rock,0.0286,0.956,0.286,153.158,0.528,0.0874,0.768,0.000324
swedish indie rock,0.206,0.59,0.327,137.021,0.323,0.0312,0.961,0
swedish indie rock,0.0144,0.883,0.393,111.29,0.357,0.0842,0.921,0
swedish indie rock,0.0436,0.942,0.18,165.833,0.402,0.0894,0.372,0.00172
swedish indie rock,0.0142,0.965,0.229,168.965,0.211,0.26,0.188,0.0013
swedish indie rock,0.613,0.628,0.297,140.674,0.311,0.0623,0.988,0
swedish indie rock,0.758,0.507,0.191,146.849,0.224,0.0373,0.95,0.00141
swedish indie rock,0.0105,0.935,0.204,121.365,0.224,0.0781,0.899,0.0182
swedish indie rock,0.000534,0.845,0.323,133.88,0.46,0.0405,0.899,0.0253
swedish indie rock,0.267,0.583,0.301,140.333,0.365,0.0572,0.906,7.46e-06
swedish indie rock,0.525,0.464,0.214,92.084,0.286,0.0375,0.371,0.000103
indietronica,0.00282,0.804,0.566,127.568,0.461,0.0764,0.071,0.00105
indietronica,8.91e-05,0.834,0.556,130.989,0.806,0.0269,0.45,0.348
indietronica,3.03e-05,0.811,0.521,134.949,0.683,0.038,0.715,0.523
indietronica,0.00982,0.533,0.649,96.973,0.612,0.0284,0.111,0.000364
indietronica,8.84e-06,0.913,0.485,144.02,0.635,0.0351,0.199,0.664
indietronica,0.000102,0.755,0.534,148.008,0.516,0.043,0.0927,0.00226
indietronica,0.000109,0.672,0.602,123.989,0.245,0.0284,0.151,0.703
indietronica,0.00628,0.785,0.483,131.879,0.152,0.0378,0.0907,0.0778
indietronica,0.00949,0.768,0.641,125.962,0.512,0.0354,0.115,0.119
indietronica,0.000685,0.737,0.607,141.345,0.353,0.0356,0.0985,0.051
indietronica,0.0149,0.541,0.74,122.021,0.71,0.0438,0.0538,0.0381
indietronica,4.98e-05,0.837,0.531,129.997,0.592,0.174,0.103,0.000191
indie pop,0.403,0.29,0.472,180.098,0.137,0.0957,0.199,0.000115
indie rock,0.403,0.29,0.472,180.098,0.137,0.0957,0.199,0.000115
indie pop,0.142,0.811,0.644,154.903,0.837,0.0499,0.169,0.000629
indie rock,0.142,0.811,0.644,154.903,0.837,0.0499,0.169,0.000629
indie pop,0.591,0.724,0.624,78.008,0.62,0.101,0.101,7.79e-06
indie rock,0.591,0.724,0.624,78.008,0.62,0.101,0.101,7.79e-06
indie pop,0.032,0.803,0.419,86.958,0.745,0.246,0.206,3.7e-05
indie rock,0.032,0.803,0.419,86.958,0.745,0.246,0.206,3.7e-05
indie pop,0.45,0.72,0.486,180.112,0.819,0.0304,0.135,0
indie rock,0.45,0.72,0.486,180.112,0.819,0.0304,0.135,0
indie pop,0.717,0.313,0.345,207.969,0.166,0.0681,0.1,0.000822
