genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
electro house,3.67e-05,0.95,0.663,128.156,0.0398,0.162,0.294,0.921
progressive electro house,3.67e-05,0.95,0.663,128.156,0.0398,0.162,0.294,0.921
electro house,0.00083,0.744,0.564,128.233,0.0966,0.0456,0.0938,0.385
progressive electro house,0.00083,0.744,0.564,128.233,0.0966,0.0456,0.0938,0.385
electro house,7.98e-05,0.91,0.544,128.19,0.166,0.0434,0.334,0.875
progressive electro house,7.98e-05,0.91,0.544,128.19,0.166,0.0434,0.334,0.875
electro house,0.00428,0.847,0.573,128.165,0.192,0.0801,0.346,0.593
progressive electro house,0.00428,0.847,0.573,128.165,0.192,0.0801,0.346,0.593
electro house,0.000983,0.762,0.66,128.008,0.0697,0.0442,0.145,0.0242
electro house,0.00537,0.846,0.58,129.998,0.35,0.0573,0.145,6.62e-06
electro house,0.0079,0.833,0.628,128.003,0.551,0.0282,0.074,1.48e-05
electro house,0.105,0.874,0.54,99.995,0.405,0.0551,0.135,0
electro house,0.06,0.759,0.579,127.875,0.14,0.0386,0.117,0.000138
electro house,0.377,0.737,0.622,125.952,0.438,0.0342,0.0949,2.03e-05
electro house,0.0231,0.86,0.583,127.032,0.291,0.0842,0.0977,1.33e-06
electro house,0.046,0.92,0.647,125.997,0.234,0.041,0.357,0.0058
electro house,0.00321,0.964,0.594,127.957,0.0373,0.0564,0.113,0.727
electro house,0.124,0.598,0.586,112.067,0.173,0.0359,0.151,0
electro house,0.253,0.725,0.753,128.012,0.347,0.0299,0.115,0.00756
progressive electro house,0.157,0.579,0.285,120.152,0.159,0.0897,0.725,0.408
progressive electro house,0.0292,0.934,0.497,125.942,0.173,0.0795,0.39,0.736
progressive electro house,0.0387,0.74,0.506,125.926,0.414,0.0618,0.2,0
progressive electro house,0.0277,0.951,0.679,126.023,0.418,0.0553,0.0632,0.349
progressive electro house,0.0401,0.856,0.526,128.026,0.506,0.0331,0.438,0
progressive electro house,0.0569,0.812,0.527,126.013,0.541,0.0347,0.27,1.67e-05
progressive electro house,0.0756,0.841,0.572,126.015,0.497,0.0405,0.198,1.08e-06
progressive electro house,0.765,0.604,0.608,122.988,0.547,0.0366,0.118,0.842
progressive electro house,0.0482,0.713,0.52,125.929,0.235,0.0523,0.148,1.15e-06
progressive electro house,0.0886,0.775,0.505,125.95,0.391,0.0573,0.229,0
progressive electro house,0.155,0.904,0.548,126.05,0.546,0.0945,0.137,0.000765
progressive electro house,0.135,0.777,0.671,127.952,0.454,0.032,0.448,7.14e-05
progressive electro house,0.242,0.841,0.517,126.006,0.171,0.0422,0.139,6.35e-06
progressive electro house,0.68,0.262,0.169,113.583,0.0387,0.0317,0.112,0.939
progressive electro house,0.62,0.796,0.709,125.024,0.369,0.0303,0.134,6.51e-05
progressive electro house,0.0014,0.881,0.748,125.989,0.352,0.0466,0.0933,0.919
progressive electro house,0.00199,0.865,0.349,127.95,0.303,0.0801,0.251,1.5e-06
electro house,0.0384,0.862,0.526,126.974,0.337,0.0633,0.144,0
progressive electro house,0.0384,0.862,0.526,126.974,0.337,0.0633,0.144,0
electro house,0.176,0.832,0.585,128.034,0.504,0.0434,0.125,1.76e-05
progressive electro house,0.176,0.832,0.585,128.034,0.504,0.0434,0.125,1.76e-05
electro house,0.0383,0.773,0.526,126.029,0.236,0.0543,0.102,4.49e-05
progressive electro house,0.0383,0.773,0.526,126.029,0.236,0.0543,0.102,4.49e-05
electro house,0.0963,0.845,0.612,127.974,0.185,0.0356,0.176,0.0893
progressive electro house,0.0963,0.845,0.612,127.974,0.185,0.0356,0.176,0.0893
electro house,0.154,0.896,0.651,126.038,0.59,0.0382,0.111,0
