genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
teen pop,0.0245,0.697,0.679,110.053,0.451,0.0584,0.167,0
teen pop,0.25,0.767,0.538,78.612,0.57,0.276,0.142,0
teen pop,0.0836,0.502,0.623,72.683,0.44,0.194,0.234,0
teen pop,0.494,0.699,0.493,96.245,0.528,0.0686,0.237,5.38e-05
teen pop,0.809,0.36,0.78,124.949,0.754,0.0467,0.104,0
underground pop rap,0.752,0.315,0.46,87.2,0.0357,0.0388,0.65,0.0119
underground pop rap,0.0036,0.783,0.607,87.026,0.181,0.139,0.216,0
underground pop rap,0.0186,0.672,0.757,111.996,0.389,0.0955,0.158,0
underground pop rap,0.00268,0.724,0.597,110.012,0.315,0.0487,0.111,0
underground pop rap,0.00199,0.757,0.523,134.828,0.375,0.138,0.3,0
underground pop rap,0.213,0.483,0.74,96.976,0.574,0.331,0.197,0
underground pop rap,0.108,0.437,0.895,140.017,0.817,0.357,0.0929,0
underground pop rap,0.000175,0.624,0.537,102.315,0.4,0.325,0.116,2.2e-06
underground pop rap,0.0959,0.65,0.35,201.924,0.416,0.306,0.599,5.81e-05
underground pop rap,0.013,0.635,0.745,94.868,0.528,0.269,0.06,0
underground pop rap,0.135,0.528,0.519,129.835,0.173,0.0907,0.174,0
underground pop rap,0.0125,0.64,0.601,161.949,0.267,0.234,0.114,6.06e-06
underground pop rap,0.0705,0.525,0.586,126.51,0.518,0.498,0.0729,0
underground pop rap,0.228,0.489,0.725,95.151,0.369,0.256,0.0854,7.43e-06
underground pop rap,0.122,0.539,0.567,91.205,0.438,0.169,0.11,0
underground pop rap,0.00188,0.591,0.753,149.137,0.71,0.257,0.115,0
underground pop rap,0.0712,0.596,0.553,79.977,0.326,0.167,0.0901,0
teen pop,0.00064,0.338,0.609,59.506,0.291,0.0584,0.124,0
teen pop,0.128,0.335,0.632,128.086,0.348,0.0367,0.369,0
teen pop,0.437,0.394,0.456,179.152,0.64,0.354,0.314,0
teen pop,0.248,0.265,0.356,80.451,0.393,0.0282,0.139,2.92e-05
teen pop,0.0763,0.361,0.579,102.161,0.214,0.0333,0.11,1.98e-06
teen pop,0.931,0.207,0.507,68.6,0.797,0.0998,0.229,0
pop rap,0.952,0.0878,0.747,63.019,0.892,0.94,0.0917,0
pop rap,0.243,0.547,0.58,156.187,0.744,0.386,0.125,0
pop rap,0.0101,0.522,0.859,83.013,0.827,0.382,0.131,0
pop rap,0.891,0.318,0.629,104.536,0.802,0.503,0.185,0
pop rap,0.245,0.941,0.306,76.718,0.668,0.47,0.34,0
pop rap,0.142,0.689,0.7,91.708,0.623,0.25,0.151,0.000344
pop rap,0.661,0.754,0.57,96.829,0.674,0.497,0.34,0
pop rap,0.569,0.735,0.605,84.141,0.821,0.39,0.325,0
pop rap,0.0911,0.732,0.571,81.544,0.555,0.326,0.396,0
pop rap,0.162,0.766,0.546,90.898,0.605,0.42,0.566,0
pop rap,0.408,0.938,0.445,86.554,0.547,0.556,0.679,0
pop rap,0.0695,0.801,0.455,77.396,0.434,0.476,0.242,0
pop rap,0.943,0.187,0.815,57.199,0.894,0.896,0.116,0
pop rap,0.344,0.691,0.737,145.155,0.798,0.228,0.827,0
pop rap,0.0249,0.828,0.492,145.499,0.324,0.179,0.368,0
pop rap,0.0928,0.833,0.672,150.062,0.656,0.263,0.333,0
pop rap,0.319,0.592,0.851,142.136,0.897,0.142,0.118,1.28e-05
pop rap,0.97,0.121,0.809,107.169,0.973,0.793,0.15,0
pop rap,0.0441,0.624,0.842,87.003,0.467,0.111,0.0665,0
pop rap,0.29,0.815,0.641,136.008,0.806,0.305,0.186,0
pop rap,0.146,0.504,0.802,78.073,0.514,0.518,0.154,0
pop rap,0.978,0.0948,0.774,66.126,0.898,0.923,0.147,0
pop rap,0.0985,0.706,0.671,150.252,0.62,0.25,0.0485,0
pop rap,0.902,0.151,0.683,67.064,0.779,0.914,0.282,0
pop rap,0.188,0.707,0.514,173.843,0.596,0.664,0.243,0
teen pop,0.0202,0.883,0.523,92.215,0.358,0.0365,0.116,0
teen pop,0.109,0.703,0.73,138.113,0.558,0.0369,0.0657,0
teen pop,0.0598,0.823,0.647,99.933,0.4,0.0762,0.119,0
teen pop,0.0687,0.705,0.537,131.965,0.295,0.0337,0.0842,0
teen pop,0.0256,0.594,0.502,153.687,0.348,0.0365,0.0834,0
teen pop,0.781,0.245,0.565,75.055,0.3,0.0262,0.0998,0
teen pop,0.0772,0.565,0.633,145.001,0.523,0.0242,0.168,2.31e-05
teen pop,0.0379,0.779,0.579,164.145,0.591,0.0512,0.385,0
teen pop,0.0438,0.681,0.64,118.062,0.673,0.0334,0.166,0
teen pop,0.149,0.869,0.678,123.964,0.883,0.0461,0.0593,0
teen pop,0.0928,0.657,0.546,133.188,0.357,0.0332,0.119,0
teen pop,0.779,0.443,0.714,106.038,0.52,0.0256,0.144,0.000109
teen pop,0.0352,0.699,0.655,86.704,0.801,0.0493,0.064,0
teen pop,9.17e-05,0.902,0.556,145.914,0.961,0.0449,0.0888,0
teen pop,0.0829,0.447,0.687,114.578,0.507,0.0486,0.0878,0
