genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
classical christmas,0.632,0.388,0.238,152.794,0.963,0.0327,0.11,0.647
classical,0.841,0.19,0.218,123.907,0.631,0.0402,0.104,0.941
classical christmas,0.841,0.19,0.218,123.907,0.631,0.0402,0.104,0.941
classical,0.479,0.396,0.231,114.093,0.965,0.0366,0.0789,0.176
classical christmas,0.479,0.396,0.231,114.093,0.965,0.0366,0.0789,0.176
classical,0.883,0.157,0.258,110.055,0.422,0.036,0.0889,0.314
classical christmas,0.883,0.157,0.258,110.055,0.422,0.036,0.0889,0.314
classical,0.918,0.349,0.419,95.477,0.966,0.0283,0.34,0.677
classical christmas,0.918,0.349,0.419,95.477,0.966,0.0283,0.34,0.677
classical,0.373,0.392,0.271,88.944,0.965,0.0324,0.296,0.012
classical christmas,0.373,0.392,0.271,88.944,0.965,0.0324,0.296,0.012
classical,0.795,0.163,0.381,116.319,0.725,0.0358,0.0964,0.218
classical christmas,0.795,0.163,0.381,116.319,0.725,0.0358,0.0964,0.218
classical,0.695,0.465,0.247,91.477,0.969,0.0363,0.208,0.586
classical christmas,0.695,0.465,0.247,91.477,0.969,0.0363,0.208,0.586
classical,0.804,0.208,0.167,133.679,0.658,0.0361,0.0573,0.56
classical christmas,0.804,0.208,0.167,133.679,0.658,0.0361,0.0573,0.56
classical,0.72,0.359,0.213,116.74,0.968,0.0393,0.325,0.955
classical christmas,0.72,0.359,0.213,116.74,0.968,0.0393,0.325,0.955
classical,0.835,0.183,0.322,95.284,0.495,0.0336,0.086,0.166
classical christmas,0.835,0.183,0.322,95.284,0.495,0.0336,0.086,0.166
classical,0.88,0.262,0.476,77.79,0.967,0.0267,0.0909,0.933
classical christmas,0.88,0.262,0.476,77.79,0.967,0.0267,0.0909,0.933
classical,0.899,0.334,0.362,92.46,0.881,0.0288,0.129,0.969
classical christmas,0.899,0.334,0.362,92.46,0.881,0.0288,0.129,0.969
classical,0.861,0.201,0.204,69.697,0.714,0.0329,0.205,0.755
classical christmas,0.861,0.201,0.204,69.697,0.714,0.0329,0.205,0.755
classical,0.86,0.468,0.261,98.818,0.979,0.0358,0.312,0.965
classical christmas,0.86,0.468,0.261,98.818,0.979,0.0358,0.312,0.965
classical,0.774,0.36,0.2,113.356,0.894,0.0369,0.121,0.864
classical christmas,0.774,0.36,0.2,113.356,0.894,0.0369,0.121,0.864
classical,0.867,0.266,0.173,139.681,0.443,0.0369,0.113,0.958
classical christmas,0.867,0.266,0.173,139.681,0.443,0.0369,0.113,0.958
classical,0.692,0.374,0.294,85.907,0.965,0.0336,0.206,0.944
classical christmas,0.692,0.374,0.294,85.907,0.965,0.0336,0.206,0.944
classical,0.678,0.372,0.264,85.719,0.965,0.0336,0.259,0.909
classical christmas,0.678,0.372,0.264,85.719,0.965,0.0336,0.259,0.909
classical,0.691,0.372,0.145,172.57,0.939,0.0369,0.189,0.941
classical christmas,0.691,0.372,0.145,172.57,0.939,0.0369,0.189,0.941
classical,0.994,0.0134,0.303,78.888,0.178,0.0388,0.12,0.93
classical christmas,0.994,0.0134,0.303,78.888,0.178,0.0388,0.12,0.93
classical,0.994,0.151,0.474,125.152,0.394,0.0437,0.139,0.895
classical christmas,0.994,0.151,0.474,125.152,0.394,0.0437,0.139,0.895
classical,0.991,0.0055,0.474,54.944,0.0835,0.0759,0.113,0.927
classical christmas,0.991,0.0055,0.474,54.944,0.0835,0.0759,0.113,0.927
classical,0.99,0.0927,0.312,113.906,0.612,0.0351,0.119,0.872
classical christmas,0.99,0.0927,0.312,113.906,0.612,0.0351,0.119,0.872
classical,0.993,0.0325,0.341,101.661,0.11,0.0432,0.121,0.892
classical christmas,0.993,0.0325,0.341,101.661,0.11,0.0432,0.121,0.892
classical,0.988,0.145,0.354,136.593,0.455,0.0363,0.146,0.91
classical christmas,0.988,0.145,0.354,136.593,0.455,0.0363,0.146,0.91
classical,0.992,0.00309,0.421,66.205,0.0947,0.0395,0.332,0.91
classical christmas,0.992,0.00309,0.421,66.205,0.0947,0.0395,0.332,0.91
classical,0.991,0.123,0.458,112.939,0.113,0.0474,0.0993,0.915
classical christmas,0.991,0.123,0.458,112.939,0.113,0.0474,0.0993,0.915
classical,0.994,0.00249,0.27,71.48,0.132,0.0434,0.189,0.911
classical christmas,0.994,0.00249,0.27,71.48,0.132,0.0434,0.189,0.911
classical,0.996,0.0156,0.452,184.145,0.43,0.051,0.101,0.922
classical christmas,0.996,0.0156,0.452,184.145,0.43,0.051,0.101,0.922
classical,0.988,0.102,0.31,145.267,0.0856,0.0419,0.0956,0.9
classical christmas,0.988,0.102,0.31,145.267,0.0856,0.0419,0.0956,0.9
classical,0.991,0.0246,0.363,102.992,0.181,0.0432,0.132,0.894
classical christmas,0.991,0.0246,0.363,102.992,0.181,0.0432,0.132,0.894
classical,0.992,0.00528,0.417,95.227,0.083,0.0389,0.086,0.874
classical christmas,0.992,0.00528,0.417,95.227,0.083,0.0389,0.086,0.874
classical,0.986,0.115,0.367,132.843,0.201,0.0365,0.0998,0.859
classical christmas,0.986,0.115,0.367,132.843,0.201,0.0365,0.0998,0.859
classical,0.689,0.129,0.453,102.003,0.231,0.0341,0.135,0.0589
classical christmas,0.689,0.129,0.453,102.003,0.231,0.0341,0.135,0.0589
classical,0.971,0.0555,0.132,85.678,0.13,0.0474,0.126,0.323
classical christmas,0.971,0.0555,0.132,85.678,0.13,0.0474,0.126,0.323
classical,0.728,0.161,0.332,83.76,0.306,0.0359,0.244,0.459
classical christmas,0.728,0.161,0.332,83.76,0.306,0.0359,0.244,0.459
classical,0.651,0.126,0.241,173.258,0.0971,0.0475,0.0877,0.213
classical christmas,0.651,0.126,0.241,173.258,0.0971,0.0475,0.0877,0.213
classical,0.943,0.0362,0.213,86.214,0.0774,0.0459,0.443,0.0886
classical christmas,0.943,0.0362,0.213,86.214,0.0774,0.0459,0.443,0.0886
classical,0.865,0.347,0.356,141.398,0.384,0.034,0.13,0.864
classical christmas,0.865,0.347,0.356,141.398,0.384,0.034,0.13,0.864
classical,0.865,0.102,0.441,117.77,0.198,0.0446,0.146,0.0559
classical christmas,0.865,0.102,0.441,117.77,0.198,0.0446,0.146,0.0559
classical,0.221,0.00688,0.173,125.17,0.0318,0.0497,0.0749,0.000656
classical christmas,0.221,0.00688,0.173,125.17,0.0318,0.0497,0.0749,0.000656
classical,0.854,0.152,0.415,77.672,0.323,0.0371,0.121,0.169
classical christmas,0.854,0.152,0.415,77.672,0.323,0.0371,0.121,0.169
classical,0.838,0.16,0.42,148.027,0.187,0.05,0.137,0.653
classical christmas,0.838,0.16,0.42,148.027,0.187,0.05,0.137,0.653
classical,0.766,0.0887,0.23,122.339,0.293,0.0468,0.119,0.0896
classical christmas,0.766,0.0887,0.23,122.339,0.293,0.0468,0.119,0.0896
classical,0.711,0.125,0.342,101.014,0.267,0.0445,0.219,0.00193
classical christmas,0.711,0.125,0.342,101.014,0.267,0.0445,0.219,0.00193
classical christmas,0.853,0.221,0.235,77.41,0.119,0.0476,0.137,0.548
classical christmas,0.653,0.142,0.19,104.345,0.0384,0.0414,0.159,0.645
classical christmas,0.739,0.327,0.375,137.126,0.251,0.0346,0.162,0.811
classical christmas,0.823,0.262,0.395,118.524,0.0753,0.0391,0.0816,0.895
classical christmas,0.672,0.168,0.269,111.997,0.0764,0.0374,0.0968,0.854
classical christmas,0.762,0.434,0.388,126.525,0.157,0.0418,0.0764,0.933
classical christmas,0.764,0.717,0.304,172.356,0.52,0.0547,0.0727,0.794
classical christmas,0.653,0.213,0.532,137.81,0.469,0.0412,0.137,0.728
classical christmas,0.232,0.84,0.444,95.686,0.41,0.0583,0.171,0.827
classical,0.989,0.108,0.281,172.201,0.0658,0.0535,0.0987,0.102
classical christmas,0.989,0.108,0.281,172.201,0.0658,0.0535,0.0987,0.102
classical,0.976,0.0712,0.33,79.389,0.045,0.0485,0.108,0.294
classical christmas,0.976,0.0712,0.33,79.389,0.045,0.0485,0.108,0.294
classical,0.988,0.121,0.402,100.145,0.208,0.0432,0.101,0.00942
classical christmas,0.988,0.121,0.402,100.145,0.208,0.0432,0.101,0.00942
classical,0.984,0.199,0.409,90.251,0.304,0.0583,0.118,0.00317
classical christmas,0.984,0.199,0.409,90.251,0.304,0.0583,0.118,0.00317
classical,0.991,0.19,0.421,68.387,0.244,0.053,0.126,0.0285
classical christmas,0.991,0.19,0.421,68.387,0.244,0.053,0.126,0.0285
classical,0.972,0.112,0.304,104.294,0.0621,0.0435,0.0733,0.0451
classical christmas,0.972,0.112,0.304,104.294,0.0621,0.0435,0.0733,0.0451
classical,0.989,0.128,0.362,133.83,0.0733,0.046,0.0902,0.0128
classical christmas,0.989,0.128,0.362,133.83,0.0733,0.046,0.0902,0.0128
classical,0.989,0.0583,0.301,74.843,0.0413,0.0465,0.185,0.0167
classical christmas,0.989,0.0583,0.301,74.843,0.0413,0.0465,0.185,0.0167
classical,0.987,0.00902,0.298,132.342,0.0561,0.0398,0.0978,0.0489
classical christmas,0.987,0.00902,0.298,132.342,0.0561,0.0398,0.0978,0.0489
classical,0.97,0.0191,0.23,137.656,0.0396,0.0479,0.103,0.0224
classical christmas,0.97,0.0191,0.23,137.656,0.0396,0.0479,0.103,0.0224
classical,0.983,0.0156,0.146,170.825,0.0373,0.0511,0.118,0.147
classical christmas,0.983,0.0156,0.146,170.825,0.0373,0.0511,0.118,0.147
classical,0.98,0.0143,0.243,136.673,0.0391,0.0394,0.115,0.0437
classical christmas,0.98,0.0143,0.243,136.673,0.0391,0.0394,0.115,0.0437
classical,0.987,0.0844,0.372,86.747,0.12,0.0503,0.134,0.00122
classical christmas,0.987,0.0844,0.372,86.747,0.12,0.0503,0.134,0.00122
classical,0.973,0.221,0.364,111.511,0.102,0.0406,0.106,0.234
classical christmas,0.973,0.221,0.364,111.511,0.102,0.0406,0.106,0.234
classical,0.986,0.0646,0.296,106.387,0.0707,0.0425,0.086,0.0368
classical christmas,0.986,0.0646,0.296,106.387,0.0707,0.0425,0.086,0.0368
classical,0.981,0.0226,0.229,141.996,0.0369,0.0459,0.0876,0.078
classical christmas,0.981,0.0226,0.229,141.996,0.0369,0.0459,0.0876,0.078
classical,0.986,0.0156,0.25,102.765,0.0371,0.045,0.124,0.0909
classical christmas,0.986,0.0156,0.25,102.765,0.0371,0.045,0.124,0.0909
classical,0.989,0.0778,0.265,168.619,0.151,0.049,0.0932,0.19
classical christmas,0.989,0.0778,0.265,168.619,0.151,0.049,0.0932,0.19
classical,0.983,0.0238,0.213,137.854,0.0341,0.0387,0.0715,0.938
classical,0.993,0.00101,0.311,65.936,0.0384,0.0576,0.0901,0.965
classical,0.98,0.103,0.21,70.427,0.0361,0.0405,0.097,0.926
classical,0.992,0.0017,0.493,71.416,0.118,0.0736,0.0838,0.725
classical,0.992,0.00264,0.217,67.992,0.029,0.0421,0.0623,0.877
classical,0.994,0.0102,0.16,68.97,0.0349,0.0383,0.125,0.955
classical,0.994,0.00229,0.318,69.657,0.0343,0.0419,0.0719,0.933
classical,0.989,0.0422,0.21,69.379,0.0437,0.0411,0.094,0.825
classical,0.989,0.000898,0.418,130.792,0.0389,0.0634,0.0912,0.679
classical,0.984,0.119,0.23,82.298,0.0311,0.0377,0.0957,0.855
classical,0.993,0.00238,0.271,67.442,0.0738,0.0472,0.0755,0.927
classical,0.993,0.0199,0.446,104.428,0.0867,0.0404,0.0956,0.937
classical,0.985,0.00205,0.366,65.08,0.0391,0.0519,0.082,0.898
classical,0.994,0.0143,0.27,69.889,0.0371,0.0392,0.212,0.931
classical,0.994,0.0428,0.454,135.013,0.116,0.042,0.0791,0.921
classical,0.99,0.0705,0.194,77.789,0.035,0.0339,0.0405,0.911
classical christmas,0.98,0.0402,0.0741,59.239,0.0383,0.0558,0.144,0.837
classical christmas,0.99,0.181,0.311,78.578,0.328,0.0453,0.0692,0.856
classical christmas,0.951,0.14,0.281,96.831,0.166,0.0526,0.217,0.792
classical christmas,0.963,0.00738,0.337,55.375,0.142,0.041,0.313,0.762
classical christmas,0.989,0.0227,0.269,108.914,0.193,0.0459,0.195,0.394
classical christmas,0.987,0.119,0.373,113.161,0.467,0.0597,0.186,0.946
classical christmas,0.979,0.0838,0.273,139.581,0.173,0.0429,0.105,0.865
classical christmas,0.985,0.0753,0.0919,66.497,0.0426,0.0557,0.213,0.916
classical christmas,0.978,0.0338,0.399,143.475,0.434,0.0614,0.321,0.631
classical christmas,0.96,0.0483,0.325,117.039,0.238,0.0618,0.315,0.87
classical christmas,0.957,0.0203,0.242,105.26,0.0522,0.0491,0.11,0.648
classical christmas,0.967,0.00632,0.0812,81.596,0.037,0.0499,0.107,0.0562
classical christmas,0.961,0.296,0.456,82.824,0.625,0.0399,0.136,0.88
classical christmas,0.977,0.0916,0.249,74.017,0.16,0.0434,0.109,0.134
classical christmas,0.982,0.0442,0.307,112.098,0.122,0.0429,0.0811,0.0324
classical christmas,0.996,0.0123,0.524,134.063,0.462,0.0695,0.0631,0.827
classical christmas,0.979,0.0592,0.215,102.827,0.372,0.0518,0.168,0.0996
classical christmas,0.985,0.161,0.403,103.651,0.749,0.0477,0.271,0.534
classical christmas,0.995,0.101,0.56,98.108,0.569,0.0597,0.11,0.917
classical christmas,0.977,0.158,0.259,79.39,0.15,0.0442,0.157,0.429
classical,0.866,0.2,0.255,85.106,0.401,0.0292,0.145,0.0049
classical christmas,0.866,0.2,0.255,85.106,0.401,0.0292,0.145,0.0049
classical,0.921,0.511,0.471,104.506,0.932,0.0289,0.304,0.122
classical christmas,0.921,0.511,0.471,104.506,0.932,0.0289,0.304,0.122
