genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
rap metal,0.000931,0.996,0.629,104.974,0.338,0.088,0.314,0.000284
alternative metal,0.000172,0.986,0.334,111.831,0.54,0.126,0.0932,0.00111
nu metal,0.000172,0.986,0.334,111.831,0.54,0.126,0.0932,0.00111
rap metal,0.000172,0.986,0.334,111.831,0.54,0.126,0.0932,0.00111
groove metal,0.000107,0.981,0.526,76.501,0.434,0.11,0.0759,1.41e-05
groove metal,0.000589,0.962,0.541,155.032,0.714,0.107,0.0809,1.26e-05
groove metal,2.11e-05,0.987,0.491,123.477,0.315,0.0786,0.254,0
groove metal,4.07e-05,0.986,0.492,140.039,0.592,0.063,0.157,0
groove metal,3.17e-05,0.969,0.437,74.976,0.548,0.0832,0.253,0
groove metal,2.58e-05,0.994,0.557,121.998,0.307,0.0888,0.0892,0.000408
groove metal,3.4e-05,0.978,0.547,130.022,0.291,0.0598,0.2,0.00028
groove metal,5.59e-05,0.978,0.446,191.989,0.545,0.112,0.216,1.02e-06
groove metal,0.00476,0.943,0.472,155.987,0.312,0.0967,0.0867,0
groove metal,5.09e-05,0.961,0.573,127.967,0.351,0.148,0.0514,0
groove metal,9.77e-05,0.987,0.495,175.609,0.506,0.0911,0.0903,0
groove metal,4.91e-05,0.991,0.534,90.984,0.534,0.0839,0.062,0
groove metal,1.83e-05,0.983,0.547,109.984,0.409,0.0473,0.0935,0.000118
groove metal,0.000767,0.938,0.347,117.029,0.364,0.0905,0.177,0
metalcore,0.00152,0.903,0.271,147.159,0.203,0.137,0.189,1.5e-05
metalcore,4.02e-05,0.924,0.295,171.941,0.219,0.0678,0.377,0.00462
metalcore,0.000455,0.888,0.426,144.111,0.387,0.0987,0.306,0
metalcore,0.000683,0.938,0.419,160.151,0.335,0.0837,0.114,0
metalcore,0.0765,0.661,0.54,90.012,0.509,0.0381,0.125,0
metalcore,1.37e-05,0.952,0.511,147.999,0.544,0.0754,0.135,0.00201
metalcore,2.97e-05,0.934,0.426,160.077,0.285,0.0685,0.113,0.0089
metalcore,0.00301,0.938,0.481,134.962,0.351,0.0781,0.0859,0.000153
metalcore,0.000102,0.94,0.405,143.126,0.245,0.0844,0.719,2.79e-05
metalcore,0.000123,0.859,0.409,154.023,0.483,0.0367,0.369,0
metalcore,0.00626,0.827,0.505,114.987,0.0997,0.0456,0.112,1.07e-05
alternative metal,0.00275,0.89,0.473,95.978,0.306,0.115,0.252,0.0021
nu metal,0.00275,0.89,0.473,95.978,0.306,0.115,0.252,0.0021
alternative metal,0.00236,0.908,0.425,73.681,0.463,0.192,0.0602,0.0125
nu metal,0.00236,0.908,0.425,73.681,0.463,0.192,0.0602,0.0125
alternative metal,0.00187,0.89,0.446,131.083,0.567,0.25,0.266,0.00109
nu metal,0.00187,0.89,0.446,131.083,0.567,0.25,0.266,0.00109
alternative metal,0.0123,0.912,0.39,85.211,0.0675,0.121,0.326,0.0367
nu metal,0.0123,0.912,0.39,85.211,0.0675,0.121,0.326,0.0367
alternative metal,0.0284,0.528,0.445,138.096,0.0495,0.0383,0.304,0.0125
nu metal,0.0284,0.528,0.445,138.096,0.0495,0.0383,0.304,0.0125
alternative metal,0.000216,0.975,0.531,99.084,0.685,0.139,0.126,0.266
nu metal,0.000216,0.975,0.531,99.084,0.685,0.139,0.126,0.266
alternative metal,0.000167,0.931,0.39,74.252,0.389,0.153,0.338,0.0578
nu metal,0.000167,0.931,0.39,74.252,0.389,0.153,0.338,0.0578
alternative metal,0.0702,0.938,0.416,98.92,0.469,0.0733,0.124,5.17e-05
nu metal,0.0702,0.938,0.416,98.92,0.469,0.0733,0.124,5.17e-05
alternative metal,0.00531,0.668,0.498,142.697,0.0363,0.0947,0.111,0.0742
nu metal,0.00531,0.668,0.498,142.697,0.0363,0.0947,0.111,0.0742
alternative metal,0.000879,0.831,0.537,110.505,0.378,0.0384,0.207,0.554
nu metal,0.000879,0.831,0.537,110.505,0.378,0.0384,0.207,0.554
alternative metal,0.000536,0.919,0.488,93.158,0.657,0.0787,0.379,0.635
nu metal,0.000536,0.919,0.488,93.158,0.657,0.0787,0.379,0.635
alternative metal,0.000691,0.831,0.539,103.293,0.451,0.0883,0.0933,0.228
